id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
131,RK0127PMD,Darah darah,Myristica spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,8,Hutan Desa Pemandang,mineral,Pembinaan,0.6936179,100.3476729,204.5,9.37,Belum,-,-,Habibi,29/09/2021 09:29,200000,804.53,-,Chave et al (2014),media/1632882694638.jpg,media/1632882701831.jpg,media/1632882708874.jpg,media/1632882714009.jpg,
132,RK0128PMD,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,40,25,Hutan Desa Pemandang,mineral,Pembinaan,0.6935562,100.347549,218.72,9.38,Belum,-,-,Rahmad,29/09/2021 09:37,200000,3473.23,-,Chave et al (2014),media/1632883117511.jpg,media/1632883124424.jpg,media/1632883131716.jpg,media/1632883136416.jpg,
133,RK0129PMD,(Meranti) Putih,Shorea javanica,Pohon Dewasa,icon/mature_tree.svg,Endangered,40,24,Hutan Desa Pemandang,mineral,Pembinaan,0.6935327,100.3476129,191.91,9.38,Belum,-,-,Rahmad,29/09/2021 09:40,200000,2664.64,-,Chave et al (2014),media/1632883312322.jpg,media/1632883319182.jpg,media/1632883326246.jpg,media/1632883332027.jpg,
134,RK0130PMD,Darah darah,Myristica spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,45,20,Hutan Desa Pemandang,mineral,Pembinaan,0.6933822,100.3472807,199.16,9.41,Belum,-,-,Habibi,29/09/2021 09:46,200000,2476.16,-,Chave et al (2014),media/1632883668582.jpg,media/1632883676558.jpg,media/1632883683926.jpg,media/1632883688607.jpg,
135,RK0131PMD,Pengentasan,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,119,31,Hutan Desa Pemandang,mineral,Pembinaan,0.6933697,100.3472722,194.99,9.41,Belum,-,-,Habibi,29/09/2021 09:49,200000,77141.35,-,Brown (1997),media/1632883835409.jpg,media/1632883840693.jpg,media/1632883869154.jpg,media/1632883876011.jpg,
136,RK0132PMD,Lalan,Santiria laevigata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,20,Hutan Desa Pemandang,mineral,Pembinaan,0.6933912,100.3472386,195.14,9.41,Belum,-,-,Rahmad,29/09/2021 09:53,200000,2825.48,-,Chave et al (2014),media/1632884100823.jpg,media/1632884107178.jpg,media/1632884113036.jpg,media/1632884117982.jpg,
137,RK0133PMD,Kayujantan,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,65,1.5,Hutan Desa Pemandang,mineral,Pembinaan,0.6934217,100.3470958,197.49,9.42,Belum,-,-,Habibi,29/09/2021 10:02,200000,16704.14,-,Brown (1997),media/1632884641624.jpg,media/1632884648147.jpg,media/1632884656394.jpg,media/1632884664629.jpg,
138,RK0134PMD,Gelumpang,Sterculia foetida,Pohon Dewasa,icon/mature_tree.svg,Not Define,49,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6935609,100.346965,185.25,9.41,Belum,-,-,Habibi,29/09/2021 10:06,200000,4333.75,-,Chave et al (2014),media/1632884834180.jpg,media/1632884840698.jpg,media/1632884847393.jpg,media/1632884853277.jpg,
139,RK0135PMD,Medang,Cinnamomum spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,47,12,Hutan Desa Pemandang,mineral,Pembinaan,0.6935493,100.34699,211.12,9.41,Belum,-,-,Rahmad,29/09/2021 10:09,200000,1525.41,-,Chave et al (2014),media/1632885035567.jpg,media/1632885041484.jpg,media/1632885049802.jpg,media/1632885055738.jpg,
140,RK0137,Mempening,Quercus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,46,12,Hutan Desa Pemandang,mineral,Pembinaan,0.693579,100.346981,198.45,9.41,Belum,-,-,Habibi,29/09/2021 10:11,200000,2325.02,-,Chave et al (2014),media/1632885199323.jpg,media/1632885206222.jpg,media/1632885220808.jpg,media/1632885231673.jpg,
141,RK0137PMD,Kasai,Pometia pinnata,Pohon Muda,icon/young_tree.svg,Least Concern,39,10,Hutan Desa Pemandang,mineral,Pembinaan,0.693567,100.3469013,202.35,9.41,Belum,-,-,Habibi,29/09/2021 10:18,50000,1277.71,-,Chave et al (2014),media/1632885560148.jpg,media/1632885566790.jpg,media/1632885573990.jpg,media/1632885580316.jpg,
142,RK0139,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,51,17,Hutan Desa Pemandang,mineral,Pembinaan,0.6936199,100.3468176,197.48,9.41,Belum,-,-,Rahmad,29/09/2021 10:20,200000,3830.17,-,Chave et al (2014),media/1632885713281.jpg,media/1632885719383.jpg,media/1632885726973.jpg,media/1632885731813.jpg,
143,RK0139PMD,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Not Define,46,18,Hutan Desa Pemandang,mineral,Pembinaan,0.6935849,100.3468505,209.89,9.41,Belum,-,-,Habibi,29/09/2021 10:22,200000,4016.16,-,Chave et al (2014),media/1632885870603.jpg,media/1632885877501.jpg,media/1632885886300.jpg,media/1632885892097.jpg,
144,RK0140PMD,Momponiang,Quercus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,52,14,Hutan Desa Pemandang,mineral,Pembinaan,0.6935023,100.3467771,192.71,9.43,Belum,-,-,Habibi,29/09/2021 10:27,200000,3433.23,-,Chave et al (2014),media/1632886105234.jpg,media/1632886111287.jpg,media/1632886118752.jpg,media/1632886124046.jpg,
145,RK0141PMD,Lalan,Santiria laevigata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,27,Hutan Desa Pemandang,mineral,Pembinaan,0.6933755,100.3469216,203.35,9.43,Belum,-,-,Rahmad,29/09/2021 10:32,200000,3472.28,-,Chave et al (2014),media/1632886382278.jpg,media/1632886387962.jpg,media/1632886393655.jpg,media/1632886398192.jpg,
146,RK0142PMD,Torok,Artocarpus elasticus,Pohon Dewasa,icon/mature_tree.svg,Not Define,42,13,Hutan Desa Pemandang,mineral,Pembinaan,0.6933645,100.3468855,201.93,9.43,Belum,-,-,Habibi,29/09/2021 10:34,200000,1817.71,-,Chave et al (2014),media/1632886534616.jpg,media/1632886541427.jpg,media/1632886548108.jpg,media/1632886561223.jpg,
147,RK0143PMD,Momponiang,Quercus sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,46,15,Hutan Desa Pemandang,mineral,Pembinaan,0.6938271,100.3469348,199.62,9.39,Belum,-,-,Habibie,29/09/2021 10:52,200000,2890.76,-,Chave et al (2014),media/1632887590377.jpg,media/1632887596614.jpg,media/1632887603124.jpg,media/1632887608718.jpg,
148,RK0144PMD,Sonduk,Endospermum medullosum,Pohon Dewasa,icon/mature_tree.svg,Not Define,40,15,Hutan Desa Pemandang,mineral,Pembinaan,0.693917,100.3469406,190.41,9.38,Belum,-,-,Rahmad,29/09/2021 10:55,200000,1041.5,-,Chave et al (2014),media/1632887771165.jpg,media/1632887776647.jpg,media/1632887783143.jpg,media/1632887788706.jpg,
149,RK0186PMD,Kemenyan,Styrax benzoin,Pohon Dewasa,icon/mature_tree.svg,Not Define,45,13,Hutan Desa Pemandang,mineral,Pembinaan,0.6938617,100.3468202,210.7,9.39,Belum,-,-,Habibi,29/09/2021 09:59,200000,1413.56,-,Chave et al (2014),media/1632888039416.jpg,media/1632888046925.jpg,media/1632888053416.jpg,media/1632888058445.jpg,
